날짜,시간,카테고리,사용처,금액,카드종류,내용
2026-01-19,12:30,식비,국수집,7000,체크카드,점심 국수
2026-01-18,19:00,식비,갈비집,70000,신용카드,외식
2026-01-18,21:00,문화생활,영화관,14000,체크카드,심야 영화
2026-01-17,10:00,쇼핑,마트,85000,신용카드,식료품 구매
2026-01-17,14:00,기타,미용실,35000,체크카드,파마
2026-01-16,07:30,교통,지하철,1350,신용카드,출근 지하철
2026-01-16,12:30,식비,돈까스,9000,체크카드,점심 돈까스
2026-01-15,20:00,식비,피자,28000,신용카드,저녁 피자
2026-01-15,22:00,문화생활,PC방,6000,체크카드,게임
2026-01-14,11:00,쇼핑,온라인서점,20000,신용카드,책 구매
2026-01-14,16:00,기타,세차,15000,체크카드,손세차
2026-01-13,08:00,교통,버스,1400,신용카드,출근 버스
2026-01-13,12:00,식비,쌀국수,10000,체크카드,점심 쌀국수
2026-01-12,19:30,식비,족발집,40000,신용카드,저녁 족발
2026-01-12,21:00,문화생활,넷플릭스,15000,체크카드,월간 구독
2026-01-11,10:00,통신,KT,58000,신용카드,인터넷 요금
2026-01-11,14:00,식비,카페,7000,체크카드,브런치
2026-01-10,07:45,교통,택시,8500,신용카드,출근 택시
2026-01-10,12:30,식비,레스토랑,30000,체크카드,특별한 점심
2026-01-09,18:00,기타,마트,25000,신용카드,생필품 구매
2026-01-09,20:00,쇼핑,편의점,3000,체크카드,간단한 구매
2026-01-08,08:15,교통,지하철,1350,신용카드,출근 지하철
2026-01-08,12:15,식비,분식집,7000,체크카드,점심 분식
2026-01-07,19:00,문화생활,미술관,10000,신용카드,전시 관람
2026-01-07,21:00,식비,배달앱,18000,체크카드,야식 배달
2026-01-06,10:30,쇼핑,잡화점,12000,신용카드,소품 구매
2026-01-06,15:00,기타,세금납부,60000,체크카드,자동차세
2026-01-05,07:00,교통,버스,1400,신용카드,출근 버스
2026-01-05,12:00,식비,샌드위치,6500,체크카드,점심 샌드위치
2026-01-04,19:00,식비,횟집,75000,신용카드,저녁 외식
2026-01-04,21:30,문화생활,콘서트,80000,체크카드,공연 관람
2026-01-03,10:00,쇼핑,전자제품,150000,신용카드,키보드 구매
2026-01-03,15:00,기타,주차요금,6000,체크카드,주차장 이용
2026-01-02,08:30,교통,지하철,1350,신용카드,출근 지하철
2026-01-02,12:40,식비,부대찌개,11000,체크카드,점심 부대찌개
2026-01-01,19:20,식비,레스토랑,60000,신용카드,새해 저녁
2026-01-01,21:00,문화생활,뮤지컬,120000,체크카드,새해 뮤지컬
